house_type,region,purchase_price
Apartment,Bornholm,2356333.3333333335
Apartment,Fyn & islands,2104942.1784615386
Apartment,Jutland,2096287.5962614445
Apartment,Zealand,2737074.9887562874
Farm,Bornholm,2337959.7333333334
Farm,Fyn & islands,2506329.156899811
Farm,Jutland,2605836.757904526
Farm,Zealand,3270657.3177226814
Summerhouse,Bornholm,1038972.6139534884
Summerhouse,Fyn & islands,1292119.215151515
Summerhouse,Jutland,1213501.6069436949
Summerhouse,Zealand,1224123.8067209776
Townhouse,Bornholm,878136.5368421052
Townhouse,Fyn & islands,1596840.5352348993
Townhouse,Jutland,1775182.4120227038
Townhouse,Zealand,2539851.847137637
Villa,Bornholm,1080828.4861878452
Villa,Fyn & islands,1450689.1307540748
Villa,Jutland,1460627.9726982184
Villa,Zealand,2416532.2830905975
